,TF doc1,TF doc2,TF doc3,DF,IDF,TF-IDF doc1,TF-IDF doc2,TF-IDF doc3
câncer,0.05704697986577181,0.03553299492385787,0.023121387283236993,28.0,0.0871501757189002,0.004971654319534575,0.003096706751433002,0.0020150329645988486
pulmão,0.03355704697986577,0.030456852791878174,0.023121387283236993,20.0,0.13469857389745624,0.00452008637239786,0.004102494636470748,0.003114417893582803
doença,0.003355704697986577,0.01015228426395939,0.0,3.0,0.47712125471966244,0.0016010780359720215,0.004843870606290989,0.0
maligna,0.006711409395973154,0.0,0.0,2.0,0.3679767852945943,0.0024696428543261365,0.0,0.0
comum,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
mundo,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
casos,0.010067114093959731,0.01015228426395939,0.011560693641618497,7.0,0.3010299956639812,0.003030503312053502,0.0030561420879592,0.003480115556809031
acordo,0.003355704697986577,0.005076142131979695,0.005780346820809248,3.0,0.47712125471966244,0.0016010780359720215,0.0024219353031454944,0.0027579263278593204
global,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
burden,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
of,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
disease,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
study,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
principal,0.006711409395973154,0.0,0.0,2.0,0.3679767852945943,0.0024696428543261365,0.0,0.0
causa,0.006711409395973154,0.0,0.0,2.0,0.3679767852945943,0.0024696428543261365,0.0,0.0
mortalidade,0.030201342281879196,0.0,0.011560693641618497,11.0,0.146128035678238,0.004413262822497121,0.0,0.001689341452927607
milhões,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
mortes,0.030201342281879196,0.0,0.0,9.0,0.146128035678238,0.004413262822497121,0.0,0.0
ano,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
tipos,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
apresenta,0.003355704697986577,0.005076142131979695,0.0,2.0,0.47712125471966244,0.0016010780359720215,0.0024219353031454944,0.0
taxa,0.006711409395973154,0.0,0.005780346820809248,3.0,0.3679767852945943,0.0024696428543261365,0.0,0.0021270334410092157
padronizada,0.006711409395973154,0.0,0.0,2.0,0.3679767852945943,0.0024696428543261365,0.0,0.0
idade,0.02348993288590604,0.0,0.005780346820809248,8.0,0.17609125905568124,0.004136371857012646,0.0,0.0010178685494548047
habitantes,0.02348993288590604,0.0,0.005780346820809248,8.0,0.17609125905568124,0.004136371857012646,0.0,0.0010178685494548047
brasil,0.026845637583892617,0.01015228426395939,0.017341040462427744,13.0,0.15970084286751188,0.004287270949463406,0.001621328353984892,0.002769378778049339
instituto,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
nacional,0.006711409395973154,0.005076142131979695,0.0,3.0,0.3679767852945943,0.0024696428543261365,0.0018679024634243365,0.0
inca,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
